perfume,brand,gender,rating_value,rating_count,year,mainaccord1,mainaccord2,mainaccord3,mainaccord4,notes,luxury_or_cheap
dior-addict-2-eau-fraiche,dior,women,4.02,362,2009.0,citrus,fruity,sweet,rose,"grapefruit, amalfi lemon, raspberry, red berries, rose, virginia cedar, musk",luxury
leather-oud,dior,unisex,4.02,321,2018.0,other,other,woody,warm spicy,"bergamot, cardamom, cloves, geranium, jasmine, leather, agarwood (oud), smoke, birch, patchouli, amberwood, sandalwood, sand",luxury
miss-dior-absolutely-blooming,dior,women,4.02,4515,2016.0,fruity,other,floral,sweet,"raspberry, black currant, pomegranate, pink pepper, may rose, peony, white musk",luxury
arden-men-sandalwood,elizabeth-arden,men,4.02,157,1956.0,other,woody,fresh spicy,amber,"lavender, clary sage, lemon, bergamot, petitgrain, sandalwood, basil, cedar, geranium, vetiver, patchouli, oakmoss, opoponax, amber, labdanum, tonka bean, musk",cheap
my-way-floral,giorgio-armani,women,4.02,810,2022.0,citrus,white floral,tuberose,animalic,"orange blossom, green mandarin, bitter orange, indian tuberose, tunisian neroli, bourbon vanilla, white musk",luxury
gucci-by-gucci-pour-homme,gucci,men,4.02,2799,2008.0,woody,other,aromatic,fresh spicy,"cypress, violet, bergamot, tobacco, jasmine, patchouli, leather, amber, elemi resin, olibanum",luxury
a-floral-verse,gucci,unisex,4.02,56,2023.0,white floral,other,green,fresh,"jasmine sambac, black tea, white musk",luxury
amazone-2017-re-launch,hermes,women,4.02,155,2017.0,other,aromatic,fruity,woody,"cassis, black currant blossom, galbanum, narcissus, red berries, vetiver",luxury
classique-pirate-edition,jean-paul-gaultier,women,4.02,50,2015.0,other,other,white floral,citrus,"mandarin orange, orange blossom, star anise, pear, rose, bergamot, tuberose, ylang-ylang, plum, ginger, orchid, iris, musk, vanilla, amber, sandalwood, cinnamon",luxury
silk-blossom-cologne,jo-malone-london,unisex,4.02,93,2020.0,floral,fruity,powdery,mossy,"apricot, white pepper, silk tree blossom, moss, heliotrope",luxury
london-rain-black-cedarwood-juniper,jo-malone-london,unisex,4.02,404,2014.0,woody,other,aromatic,fresh,"cumin, chili pepper, juniper, cedar",luxury
crystal-campion-cologne,jo-malone-london,unisex,4.02,97,2022.0,other,other,woody,powdery,"black currant, dew drop, violet, rose, campion flower, iso e super",luxury
sorrel-lemon-thyme,jo-malone-london,unisex,4.02,84,2016.0,other,citrus,fresh spicy,,"lemon, petitgrain, orange, rumex, rosemary, thyme, geranium, moss",luxury
viva-la-juicy-glace,juicy-couture,women,4.02,535,2017.0,fruity,other,vanilla,fresh,"sorbet, pear, cassis, mandarin orange, jasmine, orange blossom, vanilla, sandalwood, amber",cheap
viva-la-juicy-le-bubbly,juicy-couture,women,4.02,295,2020.0,other,other,citrus,aldehydic,"champagne, wild berries, mandarin orange, blood orange, pink freesia, gardenia, vanilla orchid, jasmine, praline, amber, woodsy notes",cheap
al-dur-al-maknoon-silver,lattafa-perfumes,unisex,4.02,367,,other,fruity,sweet,citrus,"pineapple, bergamot, apple, birch, patchouli, jasmine, leather, musk, oakmoss, amber",cheap
sheikh-al-shuyukh-luxe-edition,lattafa-perfumes,unisex,4.02,983,2015.0,other,woody,amber,caramel,"rose, cinnamon, saffron, caramel, patchouli, woodsy notes, vanilla, amber, ambroxan",cheap
raghba-for-men,lattafa-perfumes,men,4.02,391,,citrus,woody,powdery,iris,"lemon verbena, iris, lemon, violet leaf, sandalwood, ambergris, leather, cedar",cheap
exclusif-rose,maison-alhambra,women,4.02,60,2022.0,other,other,rose,woody,"pear, litchi, bergamot, turkish rose, floral notes, peony, rose petals, amber, palisander rosewood, musk",cheap
valentino-donna-born-in-roma-coral-fantasy,valentino,women,4.02,1653,2022.0,fruity,other,citrus,tropical,"kiwi, brazilian orange, indian jasmine, ambrette (musk mallow), rose, white musk, texas cedar",luxury
black-opium-extreme,yves-saint-laurent,women,4.02,1873,2021.0,other,other,cacao,vanilla,"coffee, cacao, jasmine sambac, orange blossom, bourbon vanilla, patchouli",luxury
exquisite-musk,yves-saint-laurent,unisex,4.02,85,2016.0,other,other,rose,musky,"ginger, rose, nutmeg, cinnamon, benzoin, musk, patchouli, labdanum, ambergris, agarwood (oud)",luxury
magnificent-blossom,yves-saint-laurent,unisex,4.02,85,2015.0,white floral,citrus,woody,yellow floral,"mandarin orange, bergamot, jasmine sambac, orange blossom, ylang-ylang, saffron, amyris, patchouli",luxury
mystique-shimmer,michael-kors,women,4.02,125,2020.0,woody,other,fresh spicy,amber,"black pepper, bergamot, saffron, floral notes, woody notes, amber, musk",luxury
festival-nite-for-her,hollister,women,4.02,257,2019.0,other,other,fruity,powdery,"coconut, mandarin orange, pink freesia, black currant, orchid, apple blossom, marshmallow, vanilla, amber",cheap
free-wave-for-her,hollister,women,4.02,120,2018.0,fruity,other,sweet,citrus,"blackberry, mandarin orange, agave nectar, water lily, apple blossom, orchid, ambroxan, moss, patchouli",cheap
dkny-delicious-delights-fruity-rooty,donna-karan,women,4.02,183,2015.0,fruity,other,vanilla,violet,"blackberry, blueberry, mandarin orange, sorbet, candy apple, violet, rose, vanilla, lily",cheap
live-out-loud,avon,women,4.03,30,2019.0,other,fruity,yellow floral,powdery,"strawberry, mimosa, vanilla",cheap
up-to-you-for-him,avon,men,4.03,38,2011.0,woody,other,aromatic,earthy,"woodsy notes, ginger, vetiver",cheap
be-sensual,avon,unisex,4.03,74,,other,other,powdery,fruity,"rose, kiwi, amber, musk, sandalwood",cheap
black-essential-leather,avon,men,4.03,33,2020.0,other,woody,aromatic,herbal,"sage, ginger, cactus, leather, tobacco blossom, macadamia, leather, cedar essence, amber, vetiver",cheap
lov-u-a-touch,avon,women,4.03,60,2022.0,other,other,woody,musky,"rosemary, pink pepper, raspberry, rose de mai, peony, musk, sandalwood",cheap
petit-attitude-floret,avon,women,4.03,109,,floral,fruity,sweet,fresh,"pear, nectarine blossom, floral notes, wildflowers, musk, gerbera",cheap
bvlgari-man-the-silver-limited-edition,bvlgari,men,4.03,71,2011.0,woody,other,earthy,honey,"bergamot, lotus, violet leaf, vetiver, woodsy notes, cypriol oil or nagarmotha, sandalwood, white honey, cashmere wood, amber, benzoin, musk",luxury
le-jardin-noa,cacharel,women,4.03,37,2011.0,white floral,other,fresh,sweet,"white musk, plum, freesia, peach, green notes, peony, jasmine, lily, rose, lily-of-the-valley, grass, ylang-ylang, coffee, vanilla, tonka bean, incense, sandalwood, coriander, cedar",cheap
ck-free-energy,calvin-klein,men,4.03,32,2015.0,citrus,other,woody,aromatic,"bergamot, bitter orange, galbanum, ginger, black pepper, lavender, jasmine, cedar, musk",cheap
ch-red-gold,carolina-herrera,women,4.03,87,2010.0,woody,other,sweet,amber,"bergamot, praline, tincture of rose, cinnamon, jasmine, sandalwood, amber, patchouli, virginia cedar",luxury
allure-sensuelle,chanel,women,4.03,6758,2005.0,woody,other,patchouli,powdery,"patchouli, pink pepper, peach, mandarin orange, bergamot, turkish rose, bulgarian rose, iris, jasmine, dried fruits, patchouli, vanilla, spices, sandalwood, vetiver, labdanum, lavender, amber",luxury
chanel-no-5-l-eau-eau-de-toilette-100th-anniversary-ask-for-the-moon-limited-edition,chanel,women,4.03,100,2021.0,citrus,other,aldehydic,fresh,"lemon, aldehydes, lime, bergamot, neroli, mandarin orange, orange, jasmine, ylang-ylang, may rose, white musk, orris, cedar, vanilla",luxury
gabrielle-essence,chanel,women,4.03,3148,2019.0,white floral,citrus,sweet,fruity,"citruses, peach, red fruits, petitgrain, black currant, white flowers, tuberose, ylang-ylang, jasmine, orange blossom, coconut, musk, vanilla, sandalwood",luxury
fantasia-de-fleurs,creed,women,4.03,378,1862.0,other,other,iris,animalic,"bergamot, bulgarian rose, iris, ambergris",luxury
cool-water-woman-searose-summer-edition-2019,davidoff,women,4.03,33,2019.0,other,woody,citrus,floral,"mandarin orange, pear, rose, cedar, musk",cheap
good-life-women,davidoff,women,4.03,452,1999.0,woody,other,fruity,floral,"fig, rose, jasmine, fig, ylang-ylang, magnolia, orris root, sandalwood, amber, pepper, vetiver",cheap
fahrenheit,dior,men,4.03,18355,1988.0,other,woody,ozonic,fresh spicy,"nutmeg flower, lavender, cedar, mandarin orange, chamomile, hawthorn, bergamot, lemon, violet leaf, nutmeg, cedar, sandalwood, carnation, honeysuckle, jasmine, lily-of-the-valley, leather, vetiver, musk, amber, patchouli, tonka bean",luxury
rouge-trafalgar,dior,women,4.03,947,2020.0,fruity,other,citrus,musky,"raspberry, strawberry, cherry, mandarin orange, black currant, grapefruit, musk, patchouli",luxury
armani-code-absolu-femme,giorgio-armani,women,4.03,670,2019.0,white floral,other,citrus,tuberose,"neroli, ginger, mandarin orange, tuberose, orange blossom, jasmine, vanilla, tonka bean, sandalwood",luxury
armani-code-golden-edition,giorgio-armani,men,4.03,38,2013.0,citrus,other,woody,tobacco,"bergamot, lemon, olive blossom, guaiac wood, star anise, leather, tonka bean, tobacco",luxury
emporio-armani-stronger-with-you-only,giorgio-armani,men,4.03,475,2022.0,other,citrus,lavender,fresh spicy,"grapefruit, lavender, geranium, vanilla, chestnut, labdanum",luxury
flora-emerald-gardenia,gucci,women,4.03,384,2019.0,other,other,floral,fruity,"watermelon, pear, lemon, lotus, gardenia, frangipani, musk, sandalwood, cedar",luxury
caleche,hermes,women,4.03,2441,1961.0,woody,white floral,citrus,aldehydic,"aldehydes, cypress, bergamot, neroli, orange blossom, lemon, mandarin orange, iris, ylang-ylang, rose, gardenia, jasmine, lily-of-the-valley, oakmoss, sandalwood, vetiver, musk, cedar, amber, tonka bean",luxury
le-male-eau-fraiche-gaultier-airlines,jean-paul-gaultier,men,4.03,101,2018.0,other,other,green,fresh spicy,"mint, neroli, aldehydes, clary sage, sage, woody notes, amber, vanilla, tonka bean, sandalwood",luxury
viva-la-juicy-la-fleur,juicy-couture,women,4.03,1356,2012.0,white floral,fruity,sweet,caramel,"red berries, mandarin orange, water lily, honeysuckle, gardenia, jasmine, caramel, vanilla, sandalwood",cheap
confidential-private-gold,lattafa-perfumes,unisex,4.03,327,2020.0,fruity,other,fresh,powdery,"peach, pear, passionfruit, raspberry, cassis, lily of the valley, musk, sandalwood, vanilla, patchouli, heliotrope",cheap
ejaazi-intensive-silver,lattafa-perfumes,unisex,4.03,313,2021.0,citrus,woody,amber,marine,"mandarin orange, grapefruit, cedar, sea notes, amber, moss",cheap
black-xs-l-aphrodisiaque-for-women,paco-rabanne,women,4.03,228,2013.0,white floral,citrus,vanilla,floral,"neroli, nasturtium, bitter orange, datura, peach, rose, vanila, amber",luxury
olympea-aqua-eau-de-parfum-legere,paco-rabanne,women,4.03,734,2018.0,white floral,citrus,vanilla,salty,"clementine, lemon blossom, water jasmine, solar notes, water lily, salt, vanilla, ambergris, cashmere wood",luxury
xs,paco-rabanne,men,4.03,2067,1994.0,other,woody,fresh spicy,citrus,"bergamot, rosemary, mint, lemon, tarragon, mandarin orange, juniper, brazilian rosewood, sage, bourbon geranium, coriander, sandalwood, musk, oakmoss, cedar, vanilla, patchouli, ambergris",luxury
valentina-poudre,valentino,women,4.03,1684,2016.0,other,other,iris,woody,"powdery notes, ambrette (musk mallow), iris, tuberose, vanilla, sandalwood, tonka bean",luxury
l-homme-libre,yves-saint-laurent,men,4.03,2250,2011.0,other,other,ozonic,aromatic,"violet leaf, basil, star anise, bergamot, pink pepper, nutmeg, vetiver, patchouli",luxury
opium-eau-d-ete-summer-fragrance-2004,yves-saint-laurent,women,4.03,76,2004.0,citrus,other,warm spicy,patchouli,"bergamot, orange, mandarin orange, amalfi lemon, patchouli, carnation, jasmine, myrhh, amber, vanille",luxury
pure-cali,hollister,women,4.03,40,,fruity,other,fresh,floral,"pineapple, water lily, cedar",cheap
dkny-be-delicious-fresh-blossom-sparkling-apple,donna-karan,women,4.03,30,2014.0,white floral,fruity,fresh,citrus,"apple, tangerine, pear, neroli, gardenia, pitosporum, lily-of-the-valley, white woods, ambrette (musk mallow), musk",cheap
dkny-be-extra-delicious,donna-karan,women,4.03,372,2020.0,fruity,other,caramel,floral,"pear, black currant, freesia, bergamot, peony, lily-of-the-valley, heliotrope, gardenia, caramel, raspberry, ambroxan",cheap
graphite-blue-by-realities,liz-claiborne,men,4.03,40,2007.0,woody,aromatic,warm spicy,earthy,"blue lavender, saffron, tangerine, cypress, clary sage, cardamom, oakmoss, sandalwood, cedar, musk, vetiver",cheap
passion-for-men,elizabeth-taylor,men,4.03,607,1989.0,other,woody,amber,aromatic,"lavender, fruity notes, bergamot, orange, galbanum, neroli, lemon, cinnamon, carnation, nutmeg, sandalwood, patchouli, cedar, balsam fir, jasmine, geranium, vanilla, benzoin, styrax, tonka bean, oakmoss, amber, musk, vetiver",cheap
velvet,avon,women,4.04,136,2018.0,fruity,woody,rose,warm spicy,"fig, pomegranate, raspberry, bulgarian rose, heliotrope, lily, patchouli, saffron, musk",cheap
christian-lacroix-bijou-pour-homme,avon,men,4.04,57,2015.0,other,other,woody,citrus,"rhubarb, ginger, grapefruit, cardamom, clary sage, orange blossom, cashmere wood, haitian vetiver",cheap
absolute-santal-by-elite-gentleman,avon,men,4.04,53,2022.0,other,woody,ozonic,aquatic,"cardamom, violet leaf, australian sandalwood",cheap
encanto-alluring,avon,women,4.04,74,2019.0,other,other,fruity,sweet,"pear, cotton flower, vanilla",cheap
luiza-brunet-intensa,avon,women,4.04,166,2020.0,other,other,powdery,soft spicy,"pink pepper, mandarin orange, freesia, sesame, benzoin, vanilla, cashmere musk, musk",cheap
mesmerize-black-for-him,avon,men,4.04,303,2015.0,woody,other,aromatic,vanilla,"pink pepper, lemon, mint, nutmeg, leather, violet leaf, tonka bean, cedar, sandalwood",cheap
surreal-love-garden,avon,women,4.04,73,2021.0,floral,other,woody,fruity,"water flowers, black currant, bergamot, rose, orange blossom, jasmine, amber xtreme, sinfonide, sandalwood",cheap
blv-pour-homme,bvlgari,men,4.04,2366,2001.0,other,aromatic,woody,fresh spicy,"cardamom, sandalwood, ginger, juniper, galanga, tobacco blossom, green leaves, teak wood",luxury
omnia,bvlgari,women,4.04,3160,2003.0,other,woody,sweet,fresh spicy,"ginger, cardamom, pepper, saffron, mandarin orange, masala chai, nutmeg, cinnamon, almond, cloves, lotus, white chocolate, sandalwood, woody notes, tonka bean, guaiac wood",luxury
omnia-crystalline-eau-de-parfum,bvlgari,women,4.04,1447,2013.0,other,other,musky,vanilla,"lotus, mandarin orange, heliotrope, orris root, musk, siam benzoin, sandalwood",luxury
amor-amor-electric-kiss,cacharel,women,4.04,125,2019.0,other,woody,patchouli,green,"rhubarb, pink pepper, rose, jasmine sambac, patchouli, amberwood",cheap
ck-one-collector-s-edition,calvin-klein,women,4.04,72,2019.0,citrus,other,powdery,green,"bergamot, cardamom, pineapple, papaya, green tea, white rose, violet, nutmeg, musk, amber",cheap
212-vip-rose,carolina-herrera,women,4.04,4200,2014.0,floral,other,woody,fruity,"champagne rosé, pink pepper, peach blossom, rose, white musk, woody notes",luxury
good-girl-gold-fantasy,carolina-herrera,women,4.04,147,2022.0,white floral,other,warm spicy,sweet,"almond, jasmine sambac, tuberose, tonka bean, cacao",luxury
coco-mademoiselle-l-eau-privee,chanel,women,4.04,1027,2020.0,citrus,other,musky,white floral,"mandarin orange, rose, jasmine, white musk",luxury
fleurissimo,creed,women,4.04,756,1956.0,other,white floral,citrus,rose,"bergamot, violet leaves, mandarin orange, tuberose, rose, jasmine, ylang-ylang, neroli, orris, cedar, sandalwood",luxury
himalaya,creed,men,4.04,2387,2002.0,citrus,woody,powdery,musky,"calabrian bergamot, grapefruit, sicilian lemon, sandalwood, musk, ambergris, cedar",luxury
cool-water-aquaman-collector,davidoff,men,4.04,181,2020.0,citrus,woody,fresh spicy,warm spicy,"green mandarin, black pepper, guaiac wood",cheap
cool-water-woman-cool-summer,davidoff,women,4.04,99,2009.0,other,fruity,aromatic,musky,"sea water, passionfruit, night blooming cereus, peach, musk",cheap
dior-addict-eau-fraiche-2014,dior,women,4.04,1889,2014.0,floral,citrus,musky,white floral,"calabrian bergamot, grapefruit, freesia, lily-of-the-valley, white musk, woodsy notes",luxury
j-adore-absolu,dior,women,4.04,918,2018.0,white floral,other,tuberose,citrus,"jasmine sambac, magnolia, jasmine, indian tuberose, may rose, orange blossom",luxury
la-collection-couturier-parfumeur-granville,dior,women,4.04,288,2010.0,other,woody,fresh spicy,citrus,"lemon, rosemary, thyme, pine tree, dyer’s greenweed, pepper, sandalwood, woody notes",luxury
pure-poison,dior,women,4.04,15676,2004.0,white floral,citrus,woody,,"jasmine, orange, bergamot, sicilian mandarin, gardenia, orange blossom, sandalwood, white amber, cedar, white musk",luxury
tendre-poison,dior,women,4.04,3151,1994.0,white floral,citrus,floral,tuberose,"asafoetida, bergamot, brazilian rosewood, mandarin orange, tuberose, honey, orange blossom, freesia, rose, musk, sandalwood, heliotrope, vanilla",luxury
sauvage-parfum,dior,men,4.04,3846,2019.0,citrus,woody,amber,aromatic,"bergamot, mandarin orange, elemi, sandalwood, olibanum, tonka bean, vanilla",luxury
acqua-di-gio-absolu,giorgio-armani,men,4.04,3425,2018.0,other,woody,citrus,fresh spicy,"sea notes, bergamot, pear, apple, grapefruit, lemon, lavender, rosemary, geranium, woody notes, tonka bean, amberwood, patchouli, labdanum",luxury
noir-kogane,giorgio-armani,unisex,4.04,106,2024.0,other,other,aromatic,warm spicy,"tobacco, haitian vetiver, saffron, elemi, leather",luxury
emporio-remix-for-her,giorgio-armani,women,4.04,414,2006.0,floral,fruity,powdery,fresh,"pear, cranberry, star anise, freesia, peony, magnolia, clover, heliotrope, cloves, musk, sandalwood, cedar",luxury
wood-sage-sea-salt-cologne,jo-malone-london,unisex,4.04,96,2022.0,other,other,aromatic,floral,"ambrette (musk mallow), sea salt, mineral notes, sage",luxury
viva-la-juicy-soiree,juicy-couture,women,4.04,265,2017.0,fruity,other,tropical,citrus,"kiwi, mandarin orange, cassis, water lily, jasmine sambac, jasmine, woodsy notes, musk, amber",cheap
khalis-oudi-pure-oudi,lattafa-perfumes,unisex,4.04,331,,woody,other,powdery,warm spicy,"agarwood (oud), cinnamon, nutmeg, jasmine, sandalwood, amber, guaiac wood, vanilla, musk, cedar",cheap
khaltaat-al-arabia-royal-blends,lattafa-perfumes,unisex,4.04,531,2020.0,fruity,other,amber,sweet,"fruits, apple, spices, nutmeg, clove, amber, musk, woodsy notes",cheap
wazeer,lattafa-perfumes,unisex,4.04,225,,other,woody,aromatic,citrus,"mint, orange, bergamot, juniper, chocolate, caramel, pear, raspberry, iris, amber, vanilla, sandalwood, cedar, musk, vetiver",cheap
ana-abiyedh-rouge,lattafa-perfumes,unisex,4.04,1623,2016.0,citrus,other,fresh spicy,aromatic,"nashi pear, kumquat, bergamot, caramel, geranium, ambergris, musk, oakmoss",cheap
fakhar-lattafa,lattafa-perfumes,unisex,4.04,50,2015.0,fruity,white floral,sweet,citrus,"peach, pear, apple, black currant, orange, orange blossom, jasmine sambac, rose, sandalowood, vanilla, musk, patchouli",cheap
hayaati-gold-elixir,lattafa-perfumes,unisex,4.04,318,,other,other,citrus,vanilla,"bergamot, grapefruit, cassis, leather, peach, saffron, vanilla, amber, musk, vetiver",cheap
maharjan-silver,lattafa-perfumes,unisex,4.04,45,2022.0,citrus,woody,powdery,musky,"bergamot, mandarin orange, iris, jasmine, musk, vetiver, birch",cheap
paco-rabanne-pour-elle-metal-edition,paco-rabanne,women,4.04,70,2004.0,white floral,other,fresh spicy,citrus,"white pepper, freesia, italian mandarin, jasmine, karo-korund, rose, peach, amber, massoia wood",luxury
black-xs,paco-rabanne,men,4.04,5620,2005.0,other,other,citrus,amber,"lemon, sage, praline, cinnamon, tolu balsam, black cardamom, brazilian rosewood, patchouli, black amber",luxury
ultraviolet-fluoressence,paco-rabanne,women,4.04,51,2005.0,other,white floral,floral,citrus,"pink pepper, pink grapefruit, lily, osmanthus, vanilla, sandalwood",luxury
xs-2018,paco-rabanne,men,4.04,491,2018.0,other,other,woody,citrus,"mint, bergamot, lemon, juniper berries, coriander, geranium, rosemary, oakmoss, sandalwood",luxury
meliora,parfums-de-marly,women,4.04,2607,2013.0,fruity,other,fresh,aromatic,"black currant, red berries, cassis, rose, lily-of-the-valley, ylang-ylang, musk, vanilla",luxury
black-opium-over-red,yves-saint-laurent,women,4.04,1626,2024.0,other,other,sweet,white floral,"cherry, green mandarin, jasmine, orange blossom, black tea, madagascar vanilla, coffee, indonesian patchouli leaf",luxury
elle-limited-edition-2011,yves-saint-laurent,women,4.04,68,2011.0,citrus,other,amber,fresh,"grapefruit, peony, pink pepper, jasmine, amber, vetiver, benzoin",luxury
elle-shocking-elle-eau-de-toilette,yves-saint-laurent,women,4.04,237,2009.0,other,other,woody,fresh,"ginger, mandarin orange, raspberry, peony, freesia, jasmine, patchouli, cedar, musk",luxury
kouros-eau-de-toilette-tonique-2014,yves-saint-laurent,men,4.04,52,2014.0,other,woody,aldehydic,warm spicy,"aldehydes, bergamot, star anise, patchouli, geranium, incense, virginia cedar",luxury
manifesto-l-eclat,yves-saint-laurent,women,4.04,933,2014.0,other,white floral,woody,aromatic,"currant buds, green tea, bergamot, neroli, jasmine, orange blossom, freesia, red rose, vanilla, tonka bean, cashmere wood, sandalwood",luxury
belle-d-opium-eau-de-parfum-eclat,yves-saint-laurent,women,4.04,283,2012.0,white floral,other,fruity,soft spicy,"lily, star anise, jasmine, gardenia, mandarin orange, incense, tobacco, fruity notes, pepper, peach, orange blossom, patchouli, licorice, sandalwood, amber",luxury
paris-jardins-romantiques,yves-saint-laurent,women,4.04,178,2007.0,other,other,green,rose,"grass, mandarin orange, rose, violet, lilac, lily-of-the-valley, lily, musk, sandalwood",luxury
island-hawaii,michael-kors,women,4.04,133,2007.0,citrus,white floral,sweet,amber,"clementine, neroli, orange, pineapple, orange blossom, ginger flower, jasmine, white amber, resins, sandalwood",luxury
hollister-canyon-escape-woman,hollister,women,4.04,195,2020.0,citrus,white floral,floral,woody,"mandarin orange, blood orange, cactus juice, orange blossom, desert rose, solar notes, iris, musk, sandalwood, cedar",cheap
festival-nite-for-him,hollister,men,4.04,174,2019.0,other,other,warm spicy,citrus,"apple, bergamot, mandarin leaf, ambroxan, black pepper, ginger, tonka bean, sandalwood, musk",cheap
clinique-happy-in-bloom-2015,clinique,women,4.04,47,2015.0,other,fruity,floral,fresh,"green notes, fruits, watery notes, plum, lily-of-the-valley, freesia, mimosa, amber, white wood, musk",cheap
dkny-delicious-candy-apples-juicy-berry,donna-karan,women,4.04,417,2010.0,fruity,other,fresh,,"blackberry, red currant, litchi, pear, apple blossom, tincture of rose, woodsy notes, sandalwood",cheap
floral-honeysuckle,dossier,women,4.04,54,2018.0,white floral,other,woody,tuberose,"honeysuckle, green leaves, orange, jasmine sambac, tuberose, orris, sandalwood, vanilla",cheap
musk-air,avon,men,4.05,40,2021.0,other,woody,fresh spicy,aromatic,"ginger, geranium, sandalwood",cheap
black-essential-dark,avon,men,4.05,83,2020.0,other,woody,leather,animalic,"cosmos flower, juniper berries, cardamom, russian leather, sage, oat, vetiver, cypress, vanilla",cheap
far-away-aloha,avon,women,4.05,38,2019.0,white floral,other,fruity,citrus,"mandarin orange, tiare flower, musk",cheap
curious-heart,britney-spears,women,4.05,237,2007.0,floral,other,white floral,fruity,"lotus, magnolia, pear, cyclamen, tuberose, jasmine, vanilla, musk, white woods, sandalwood",cheap
bvlgari-pour-femme,bvlgari,women,4.05,3626,1994.0,other,other,floral,iris,"violet, carnation, raspberry, peach, coriander, orange blossom, sichuan pepper, bergamot, iris, bulgarian rose, heliotrope, orris root, egyptian jasmine, lily-of-the-valley, musk, green tea, woody notes, sandalwood, vanilla, amber, benzoin, styrax, cedar",luxury
love-don-t-be-shy,by-kilian,women,4.05,8645,2007.0,other,white floral,vanilla,citrus,"neroli, bergamot, pink pepper, coriander, orange blossom, honeysuckle, jasmine, iris, rose, sugar, vanilla, caramel, musk, civet, labdanum",luxury
amor-amor-in-a-flash,cacharel,women,4.05,958,2013.0,other,other,cinnamon,fruity,"red apple, apricot, mandarin orange, cinnamon, jasmine, caramel, vanilla, sandalwood",cheap
anais-anais-premier-delice-l-eau,cacharel,women,4.05,56,2016.0,citrus,fruity,sweet,white floral,"pear, sorbet, grapefruit, bergamot, freesia, jasmine, lily-of-the-valley, musk, ambretone, cedar",cheap
eternity-summer-2006,calvin-klein,women,4.05,78,2006.0,citrus,other,aromatic,green,"lemon verbena, pink grapefruit, fig leaf, magnolia, jasmine, sage, sandalwood, musk",cheap
pure-gold-euphoria-men,calvin-klein,men,4.05,73,2017.0,other,woody,aromatic,oud,"saffron, cardamom, pine needles, rose, vanilla, juniper, agarwood (oud), sandalwood, patchouli, musk",cheap
dark-obsession,calvin-klein,men,4.05,582,2013.0,other,aromatic,woody,musky,"guarana, wormwood, green mandarin, balsam fir, clary sage, vetiver, madagascar vanilla, suede, labdanum",cheap
blond-jasmine,carolina-herrera,unisex,4.05,63,2017.0,citrus,white floral,musky,aromatic,"jasmine, citron, mandarin orange, jasmine sambac, jasmine, white musk, vetiver",luxury
chance-eau-de-parfum,chanel,women,4.05,5409,2005.0,other,other,powdery,white floral,"pink pepper, jasmine, iris, patchouli, musk, vanilla",luxury
chanel-no-5-eau-de-cologne,chanel,women,4.05,910,,other,woody,musky,white floral,"aldehydes, ylang-ylang, african orange flower, bergamot, amalfi lemon, iris, jasmine, rose, orris root, lily-of-the-valley, civetta, musk, amber, sandalwood, vetiver, oak moss, patchouli, vanille",luxury
cool-water-exotic-summer,davidoff,men,4.05,66,2016.0,other,other,green,woody,"sage, mandarin orange, basil, juniper, mint, sandalwood",cheap
cool-water-game-happy-summer-for-men,davidoff,men,4.05,42,2007.0,other,citrus,ozonic,woody,"grapefruit, watermelon, blood orange, green apple, violet leaf, sea notes, musk, guaiac wood, cedar, patchouli",cheap
dolce-vita,dior,women,4.05,10145,1994.0,other,woody,powdery,vanilla,"peach, cardamom, lily, grapefruit, bergamot, rose, cinnamon, apricot, brazilian rosewood, lily, heliotrope, magnolia, vanilla, sandalwood, cedar, coconut",luxury
higher-energy,dior,men,4.05,1317,2003.0,other,aromatic,woody,fruity,"juniper berries, pineapple, grapefruit, melon, mint, nutmeg, pepper, incense, cedar, vetiver, oakmoss, sandalwood, musk, labdanum",luxury
les-creations-de-monsieur-dior-diorella,dior,women,4.05,491,2009.0,citrus,white floral,aromatic,woody,"amalfi lemon, honeysuckle, vetyver",luxury
miss-dior-cherie-l-eau,dior,women,4.05,2796,2009.0,white floral,citrus,musky,lactonic,"bitter orange, gardenia, musk",luxury
summer-mania-eau-fraiche-pour-femme,giorgio-armani,women,4.05,55,2007.0,other,other,woody,amber,"pear, jasmine, white musk, sandalwood, amber",luxury
armani-eau-d-aromes,giorgio-armani,men,4.05,662,2014.0,citrus,aromatic,warm spicy,woody,"mandarin orange, bergamot, ginger, patchouli, vetiver, sage, cardamom",luxury
emporio-armani-for-him-2008,giorgio-armani,men,4.05,130,2008.0,other,citrus,woody,fresh spicy,"bergamot, vetiver, yuzu, sage, cardamom, musk, cedar, tonka bean",luxury
onde-mystere,giorgio-armani,women,4.05,250,2008.0,other,other,musky,powdery,"amber, musk, moroccan rose, incense, vanilla absolute, spicy notes",luxury
si-sono-io,giorgio-armani,women,4.05,37,2017.0,other,woody,soft spicy,floral,"cassis, rose, freesia, vanilla, amber, patchouli, woody notes",luxury
gucci-oud,gucci,unisex,4.05,697,2014.0,other,other,fruity,sweet,"raspberry, pear, saffron, bulgarian rose, orange blossom, agarwood (oud), patchouli, amber, musk",luxury
rouge-hermes,hermes,women,4.05,891,2000.0,woody,other,rose,warm spicy,"rose, ylang-ylang, iris, sandalwood, amber, vanilla, cedar, spices, myrtle",luxury
